X,Date,Time,Player1,Player2,Sets_P1,Sets_P2,P1_G1,P2_G1,P1_G2,P2_G2,P1_G3,P2_G3,P1_G4,P2_G4,P1_G5,P2_G5,HomeWinner,Series_Type,Is_Exciting,P1_Elo,P2_Elo,Elo_Diff,P1_WinRate,P2_WinRate,WinRate_Diff,P1_Streak,P2_Streak
1,6/10/2022,1:05:00,Marchuk M.,Polysynskyi M.,3,1,11,8,11,6,6,11,11.0,8.0,,,1,Secure,0,1000.0,1000.0,0.0,,,,0,0
2,6/10/2022,1:25:00,Sokolov S.,Sachuk S.,0,3,12,14,8,11,5,11,,,,,0,Sweep,0,1000.0,1000.0,0.0,,,,0,0
3,6/10/2022,1:35:00,Samofal Y.,Bambutsa R.,3,1,4,11,11,5,11,6,11.0,9.0,,,1,Secure,0,1000.0,1000.0,0.0,,,,0,0
4,6/10/2022,1:55:00,Kyilo V.,Chernyshov D.,3,1,6,11,11,1,15,13,11.0,7.0,,,1,Secure,0,1000.0,1000.0,0.0,,,,0,0
5,6/10/2022,2:05:00,Polysynskyi M.,Kostiuk B.,3,0,12,10,11,9,11,6,,,,,1,Sweep,0,988.0,1000.0,12.0,0.0,,,0,0
6,6/10/2022,2:30:00,Sachuk S.,Diachenko M.,2,3,11,9,11,9,5,11,10.0,12.0,0.0,11.0,0,Comeback,1,1012.0,1000.0,12.0,1.0,,,1,0
7,6/10/2022,2:35:00,Balakiriev M.,Marchuk M.,3,1,11,8,11,7,3,11,11.0,9.0,,,1,Secure,0,1000.0,1012.0,12.0,,1.0,,0,1
8,6/10/2022,2:55:00,Hryshchenko O.,Sokolov S.,3,2,11,8,7,11,11,3,9.0,11.0,11.0,9.0,1,Neck & Neck,1,1000.0,988.0,12.0,,0.0,,0,0
9,6/10/2022,3:05:00,Samofal Y.,Polysynskyi M.,0,3,9,11,9,11,8,11,,,,,0,Sweep,0,1012.0,1000.4,11.600000000000023,1.0,0.5,0.5,1,1
10,6/10/2022,3:25:00,Kyilo V.,Sachuk S.,2,3,9,11,5,11,11,7,11.0,6.0,9.0,11.0,0,Secure,0,1012.0,999.6,12.399999999999977,1.0,0.5,0.5,1,0
11,6/10/2022,3:35:00,Marchuk M.,Bambutsa R.,3,0,11,6,13,11,11,3,,,,,1,Sweep,0,999.6,988.0,11.600000000000023,0.5,0.0,0.5,0,0
12,6/10/2022,3:55:00,Sokolov S.,Chernyshov D.,3,2,11,7,12,10,5,11,6.0,11.0,11.0,9.0,1,Secure,0,976.4,988.0,11.600000000000023,0.0,0.0,0.0,0,0
13,6/10/2022,4:05:00,Balakiriev M.,Kostiuk B.,3,2,11,5,13,11,7,11,8.0,11.0,11.0,8.0,1,Secure,0,1012.4,987.6,24.799999999999955,1.0,0.0,1.0,1,0
14,6/10/2022,4:25:00,Hryshchenko O.,Diachenko M.,3,2,11,7,11,5,9,11,8.0,11.0,12.0,10.0,1,Secure,0,1011.6,1012.4,0.7999999999999545,1.0,1.0,0.0,1,1
15,6/10/2022,4:50:00,Samofal Y.,Marchuk M.,0,3,3,11,3,11,9,11,,,,,0,Sweep,0,999.6,1011.2,11.600000000000023,0.5,0.6667,0.16669999999999996,0,1
16,6/10/2022,4:55:00,Kyilo V.,Sokolov S.,2,3,10,12,8,11,11,7,11.0,5.0,8.0,11.0,0,Secure,0,999.6,988.8,10.800000000000068,0.5,0.3333,0.16670000000000001,0,1
17,6/10/2022,5:10:00,Balakiriev M.,Polysynskyi M.,3,2,11,5,11,8,9,11,6.0,11.0,11.0,5.0,1,Secure,0,1023.6,1012.8,10.800000000000068,1.0,0.6667,0.33330000000000004,2,2
18,6/10/2022,5:25:00,Hryshchenko O.,Sachuk S.,3,2,11,9,11,5,13,15,6.0,11.0,11.0,9.0,1,Secure,0,1023.6,1012.0,11.600000000000023,1.0,0.6667,0.33330000000000004,2,1
19,6/10/2022,5:35:00,Bambutsa R.,Kostiuk B.,3,1,7,11,13,11,11,8,11.0,8.0,,,1,Secure,0,976.4,976.4,0.0,0.0,0.0,0.0,0,0
20,6/10/2022,5:55:00,Chernyshov D.,Diachenko M.,1,3,12,10,8,11,3,11,6.0,11.0,,,0,Secure,0,975.6,1000.4,24.799999999999955,0.0,0.5,0.5,0,0
21,6/10/2022,6:05:00,Samofal Y.,Balakiriev M.,3,2,7,11,15,13,11,8,4.0,11.0,11.0,9.0,1,Secure,0,988.0,1035.2,47.200000000000045,0.3333,1.0,0.6667000000000001,0,3
22,6/10/2022,6:25:00,Kyilo V.,Hryshchenko O.,3,1,9,11,12,10,11,5,11.0,9.0,,,1,Secure,0,987.2,1035.2,48.0,0.3333,1.0,0.6667000000000001,0,3
23,6/10/2022,6:35:00,Marchuk M.,Kostiuk B.,3,2,6,11,8,11,11,7,11.0,6.0,15.0,13.0,1,Comeback,1,1022.8,964.4,58.39999999999998,0.75,0.0,0.75,2,0
24,6/10/2022,6:55:00,Sokolov S.,Diachenko M.,2,3,7,11,8,11,11,6,11.0,6.0,6.0,11.0,0,Secure,0,1001.2,1011.5,10.299999999999955,0.5,0.6667,0.16669999999999996,2,1
25,6/10/2022,7:00:00,Baday M.,Tupyk M.,3,1,10,12,11,9,11,8,11.0,7.0,,,1,Secure,0,1000.0,1000.0,0.0,,,,0,0
26,6/10/2022,7:05:00,Polysynskyi M.,Bambutsa R.,3,2,11,7,6,11,11,8,6.0,11.0,11.0,6.0,1,Neck & Neck,1,1001.2,988.4,12.800000000000068,0.5,0.3333,0.16670000000000001,0,1
